key,key_id,translation_id,lang_iso,lang_name,qa_titles,source,target,spans,placeholder_mismatch,modified_at
text3_1F,853741943,8526709998,en,English,Spelling and/or grammar errors,Still a little bit left!,Still a little bit left!,"[{""group"": ""2"", ""start"": 0, ""length"": 5, ""rule_id"": ""56"", ""fragment"": ""Still"", ""extracted"": ""Still""}, {""group"": ""3"", ""start"": 8, ""length"": 10, ""rule_id"": ""64266"", ""fragment"": ""little bit"", ""extracted"": ""little bit""}]","{""missing"": [], ""excess"": []}",2026-05-29 01:09:45
text3_10M,853741941,8526709470,nl,Dutch,Spelling and/or grammar errors,Don't stop!,Stop niet!,[],"{""missing"": [], ""excess"": []}",2026-05-29 01:09:45
socialShareTextFbF,853741934,8526710533,en,English,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","I reached my daily water goal today! Help your body, download ""My Water""! #mywater","[{""group"": ""1"", ""start"": 75, ""length"": 7, ""rule_id"": ""5"", ""fragment"": ""mywater"", ""extracted"": ""mywater""}]","{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526711797,ar,Arabic,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","لقد حققت هدفي اليومي من الماء اليوم! ساعد جسمك أيضًا، حمّل ""My Water""! #mywater","[{""group"": ""1"", ""start"": 60, ""length"": 2, ""rule_id"": ""128897806"", ""fragment"": ""My"", ""extracted"": ""My""}, {""group"": ""1"", ""start"": 63, ""length"": 5, ""rule_id"": ""128897806"", ""fragment"": ""Water"", ""extracted"": ""Water""}, {""group"": ""1"", ""start"": 72, ""length"": 7, ""rule_id"": ""128897806"", ""fragment"": ""mywater"", ""extracted"": ""mywater""}]","{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526710111,da,Danish,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","Jeg nåede mit daglige vandmål i dag! Hjælp din krop, download ""Mit vand""! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526711113,nl,Dutch,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","Ik heb vandaag mijn dagelijkse waterdoel gehaald! Help je lichaam, download ""My Water""! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526704872,fr,French,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","J'ai atteint mon objectif quotidien. Aide ton corps, télécharge My Water ! #mywater","[{""group"": ""1"", ""start"": 64, ""length"": 2, ""rule_id"": ""208"", ""fragment"": ""My"", ""extracted"": ""My""}]","{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526708532,de,German,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","Ich habe heute mein Tagesziel erreicht! Hilf deinem Körper, lade ""Mein Wasser"" herunter! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526704612,it,Italian,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","Oggi ho raggiunto il mio obiettivo d'acqua! Aiuta il tuo corpo, scarica ""La mia acqua""! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526706535,pl,Polish,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","Dziś osiągnęłam swój dzienny cel wody! Pomóż swojemu ciału, pobierz ""Moja woda""! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526705517,pt_BR,Portuguese (Brazil),Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","Atingi minha meta diária de água hoje! Ajude seu corpo, baixe o ""My Water""! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526710450,es,Spanish (Spain),Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","¡Hoy he alcanzado mi meta diaria de agua! Ayuda a tu cuerpo, ¡descarga ""My Water""! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
socialShareTextFbF,853741934,8526717856,sv,Swedish,Spelling and/or grammar errors,"I reached my daily water goal today! Help your body, download ""My Water""! #mywater","Jag nådde mitt dagliga vattenmål idag! Hjälp din kropp, ladda ner ""Mitt Vatten""! #mywater",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
youShouldDrink0Digits,853741933,8526706609,nl,Dutch,Spelling and/or grammar errors,"Based on your parameters, your estimated goal is [%1$.0f] [%2$s] of water. Your doctor can determine the exact goal for you.",Op basis van je gegevens is je geschatte doel [%1$.0f] [%2$s] water. Je arts kan het exacte doel voor je bepalen.,"[{""group"": ""3"", ""start"": 0, ""length"": 12, ""rule_id"": ""48122"", ""fragment"": ""Op basis van"", ""extracted"": ""Op basis van""}]","{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
youShouldDrink0Digits,853741933,8526704955,ja,Japanese,Different numbers,"Based on your parameters, your estimated goal is [%1$.0f] [%2$s] of water. Your doctor can determine the exact goal for you.",入力した情報から算出した1日の目標水分量の目安は [%1$.0f] [%2$s] です。正確な量については医師にご相談ください。,[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
text2_3F,853741928,8526707432,de,German,Spelling and/or grammar errors,"Hi, today you drank",Hallo! Heute hast du getrunken,[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
text2_3F,853741928,8526706566,pt_BR,Portuguese (Brazil),Spelling and/or grammar errors,"Hi, today you drank","Olá, hoje você bebeu",[],"{""missing"": [], ""excess"": []}",2026-06-01 02:01:51
